Authorization Date,Record ID,Store Name,Store Type,Street Number,City,State,Zip Code,Zip4,County,Latitude,Longitude,End Date
2019-02-04,1352158,7 Eleven 23001K,Convenience Store,3900,Washington,DC,20019,3401,DIST OF COLUMBIA,38.89523,-76.94853, 
2019-02-04,1352160,7 Eleven 21926J,Convenience Store,407,Washington,DC,20002,5227,DIST OF COLUMBIA,38.89523,-76.99475, 
2019-02-14,1324713,"F And A, Inc 1",Convenience Store,1303,Washington,DC,20020,6909,DIST OF COLUMBIA,38.86683,-76.98685,09/16/2021
2019-02-22,1155874,City Corner Mart 1,Convenience Store,2601,Washington,DC,20001,3933,DIST OF COLUMBIA,38.924,-77.02543, 
2019-02-27,1356291,7 Eleven 33657H,Convenience Store,3000,Washington,DC,20008, ,DIST OF COLUMBIA,38.9299,-77.05557, 
2019-03-04,1350174,Tobacco Light Convenience Store  ,Convenience Store,1517,Washington,DC,20020,5634,DIST OF COLUMBIA,38.86615,-76.98271,04/21/2020
2019-03-11,1105510,Quick Trip 24 LLC  ,Convenience Store,1356,Washington,DC,20018,3704,DIST OF COLUMBIA,38.92506,-76.98605, 
2019-03-11,1357427,Target T3328,Super Store,7828,Washington,DC,20012,1305,DIST OF COLUMBIA,38.98446,-77.02699, 
2019-03-11,1357423,Target T3308,Super Store,3505,Washington,DC,20008,2400,DIST OF COLUMBIA,38.93586,-77.05802, 
2019-03-13,1352005,S And G  Wine And Liquor Store  ,Convenience Store,5421,Washington,DC,20011,3909,DIST OF COLUMBIA,38.95581,-77.02775,09/29/2021
2019-03-15,1347558,S & H 6 Inc  ,Large Grocery Store,51,Washington,DC,20002,3297,DIST OF COLUMBIA,38.90546,-77.00727, 
2019-03-25,1352083,7-eleven 35500b  ,Convenience Store,900,Washington,DC,20002,3930,DIST OF COLUMBIA,38.90207,-76.98243, 
2019-03-28,1360358,7 Eleven 37162H,Convenience Store,637,Washington,DC,20003,4493,DIST OF COLUMBIA,38.88472,-76.99722, 
2019-04-03,1361009,CVS Pharmacy CVS17763,Combination Grocery/Other,7828,Washington,DC,20012,1305,DIST OF COLUMBIA,38.98446,-77.02699,02/17/2020
2019-04-05,1103564,USDA Farmers Market  ,Farmers' Market,1401,Washington,DC,20250, ,DIST OF COLUMBIA,38.88757,-77.02818, 
2019-04-10,1349758,Morazan Grocery Corp  ,Convenience Store,3928,Washington,DC,20011,5406,DIST OF COLUMBIA,38.93944,-77.033,02/13/2020
2019-04-17,1362399,Wawa Store 6005,Convenience Store,1400,Washington,DC,20010,2886,DIST OF COLUMBIA,38.92853,-77.03363, 
2019-04-30,1359605,"K & Y, Llc 1",Convenience Store,922,Washington,DC,20011,2970,DIST OF COLUMBIA,38.9561,-77.02679,06/16/2021
2019-05-03,1156147,7-Eleven 25464A,Convenience Store,4319,Washington,DC,20016,2139,DIST OF COLUMBIA,38.9452,-77.07811, 
2019-05-20,1364021,7-eleven 37294b  ,Convenience Store,2300,Washington,DC,20009,4069,DIST OF COLUMBIA,38.92026,-77.03211, 
2019-05-21,1359221,Petworth Community Market  ,Farmers' Market,4100,Washington,DC,20011, ,DIST OF COLUMBIA,38.94135,-77.02508, 
2019-06-05,1365457,Southern Express Liquors  ,Convenience Store,4416,Washington,DC,20019,5627,DIST OF COLUMBIA,38.87332,-76.93481, 
2019-06-15,1368257,Wawa 6004,Convenience Store,4530,Washington,DC,20016,1811,DIST OF COLUMBIA,38.9491,-77.07922, 
2019-06-17,1357559,"Jabbo's Compact Market, Inc.  ",Small Grocery Store,1613,Washington,DC,20002,2701,DIST OF COLUMBIA,38.90736,-76.98663, 
2019-06-24,1363154,Bodega Market Llc  ,Convenience Store,1136,Washington,DC,20002,7144,DIST OF COLUMBIA,38.90304,-76.99036,11/29/2021
2019-06-24,1370069,TRADER JOE'S GLOVER PARK 620,Supermarket,2101,Washington,DC,20007,6224,DIST OF COLUMBIA,38.91747,-77.0684, 
2019-06-25,1361889,The Fresh Food Factory Market  ,Small Grocery Store,1231,Washington,DC,20020,6907,DIST OF COLUMBIA,38.86696,-76.98769, 
2019-06-25,1370104,7 Eleven 35433K,Convenience Store,3101,Washington,DC,20018,2947,DIST OF COLUMBIA,38.93441,-76.96425,01/14/2021
2019-07-10,1365751,Beers Elementary School  ,Farmers' Market,3600,Washington,DC,20020,2426,DIST OF COLUMBIA,38.86436,-76.9556, 
2019-07-10,1365750,Freshfarm Noma Market  ,Farmers' Market,201,Washington,DC,20002, ,DIST OF COLUMBIA,38.90343,-77.00312, 
2019-07-15,1371595,14th St Market  ,Farmers' Market,3333,Washington,DC,20010, ,DIST OF COLUMBIA,38.93093,-77.03245, 
2019-07-15,1371597,Lanier Heights  ,Farmers' Market,1623,Washington,DC,20009,2901,DIST OF COLUMBIA,38.92646,-77.0395, 
2019-07-15,1371551,Kenilworth Courts  ,Farmers' Market,4500,Washington,DC,20019,2023,DIST OF COLUMBIA,38.91225,-76.93653, 
2019-07-15,1368003,Anacostia Ave  ,Farmers' Market,640,Washington,DC,20019,1509,DIST OF COLUMBIA,38.90058,-76.95297, 
2019-07-15,1371547,Columbia Market  ,Farmers' Market,1420,Washington,DC,20010, ,DIST OF COLUMBIA,38.9272,-77.03331, 
2019-07-18,1366267,Gees Market  ,Convenience Store,3583,Washington,DC,20010,1722,DIST OF COLUMBIA,38.93486,-77.0208,01/20/2021
2019-07-23,1370790,Flagler Market  ,Small Grocery Store,2200,Washington,DC,20001,1615,DIST OF COLUMBIA,38.91931,-77.01379, 
2019-07-24,1367333,Dol Community Markets Kelly Miller  ,Farmers' Market,301,Washington,DC,20019,4706,DIST OF COLUMBIA,38.89332,-76.93246, 
2019-08-01,1374068,Community Foodworks Uptown Farmers Market  ,Farmers' Market,5500,Washington,DC,20011,7802,DIST OF COLUMBIA,38.95667,-77.03319, 
2019-08-11,1375263,CVS Pharmacy 11180,Combination Grocery/Other,1001,Washington,DC,20036,5794,DIST OF COLUMBIA,38.90313,-77.03593, 
2019-08-16,1372179,New Seven Market  ,Convenience Store,1406,Washington,DC,20020,5615,DIST OF COLUMBIA,38.86691,-76.98483,05/25/2021
2019-09-06,1378505,WAWA Store 6006,Convenience Store,2424,Washington,DC,20009,2024,DIST OF COLUMBIA,38.92138,-77.04267, 
2019-09-18,1373977,24 Hour Night And Day Convenience Store  ,Convenience Store,5026,Washington,DC,20019,5838,DIST OF COLUMBIA,38.87783,-76.93079, 
2019-09-30,1311983,Menkem Llc  ,Convenience Store,4202,Washington,DC,20019,4540,DIST OF COLUMBIA,38.89312,-76.94231, 
2019-10-04,1373392,Grab N Go  ,Convenience Store,1426,Washington,DC,20002,4029,DIST OF COLUMBIA,38.90942,-77.00938, 
2019-10-07,1322260,Udc Van Ness Farmers Market  ,Farmers' Market,4340,Washington,DC,20008,2315,DIST OF COLUMBIA,38.94623,-77.0652, 
2019-10-08,1381658,Target Store T3351,Super Store,4500,Washington,DC,20016,4628,DIST OF COLUMBIA,38.94854,-77.08055, 
2019-10-08,1381646,Target Store T3320,Super Store,1515,Washington,DC,20002,1744,DIST OF COLUMBIA,38.91608,-76.98214, 
2019-10-21,1374336,7-eleven 33452  ,Convenience Store,514,Washington,DC,20052,0047,DIST OF COLUMBIA,38.89658,-77.04372, 
2019-10-23,1384003,7-Eleven Store 37166H,Convenience Store,4675,Washington,DC,20032,2717,DIST OF COLUMBIA,38.82119,-77.00179,01/19/2021
2019-10-28,1374553,Wonder Mart Llc  ,Combination Grocery/Other,2743,Washington,DC,20032,2608,DIST OF COLUMBIA,38.84694,-76.99641, 
2019-11-17,1386317,7-Eleven Store 35291K,Convenience Store,2501,Washington,DC,20002,4805,DIST OF COLUMBIA,38.89767,-76.97091, 
2019-12-15,1390108,7-Eleven Store 36438J,Convenience Store,1233,Washington,DC,20018,1019,DIST OF COLUMBIA,38.92051,-76.98921, 
2019-12-16,961874,Lees Mini Market  ,Convenience Store,3853,Washington,DC,20020,1001,DIST OF COLUMBIA,38.86629,-76.95039, 
2019-12-26,1181661,Streets Market & Cafe  ,Supermarket,2400,Washington,DC,20009,4502,DIST OF COLUMBIA,38.92107,-77.03191, 
2019-12-27,1388223,Streets Market 22nd St,Combination Grocery/Other,1255,Washington,DC,20037, ,DIST OF COLUMBIA,38.90669,-77.04836, 
2019-12-30,1390508,Freshfarm Columbia Heights Farmers Market n/a,Farmers' Market,1375,Washington,DC,20010,2398,DIST OF COLUMBIA,38.92986,-77.03185, 
2019-12-30,1168773,Delicias Market  ,Small Grocery Store,3702,Washington,DC,20010,1321,DIST OF COLUMBIA,38.93736,-77.03278, 
